codigo,concepto,unidad,precio_catalogo_almeria,familia_precio
L00A003250A0,Placa Gypsotech STD BA 13x1200x2500,ud,4.20,PLACA
L00A005200A0,Placa Gypsotech STD BA 15x1200x2500,ud,5.10,PLACA
L00H003200A0,Placa Gypsotech AQUA BA 13x1200x2000,ud,7.66,PLACA
L00H003250A0,Placa Gypsotech AQUA BA 13x1200x2500,ud,7.66,PLACA
L00H003260A0,Placa Gypsotech AQUA BA 13x1200x2600,ud,7.66,PLACA
L00H003280A0,Placa Gypsotech AQUA BA 13x1200x2800,ud,7.66,PLACA
L00H003300A0,Placa Gypsotech AQUA BA 13x1200x3000,ud,7.66,PLACA
L00H005200A0,Placa Gypsotech AQUA BA 15x1200x2000,ud,9.50,PLACA
L00H005260A0,Placa Gypsotech AQUA BA 15x1200x2600,ud,9.50,PLACA
L00H005300A0,Placa Gypsotech AQUA BA 15x1200x3000,ud,9.50,PLACA
L00XL03200EI,Placa Gypsotech Externa Light 13x1200x2000,ud,29.04,PLACA
L00LB03200AC,Placa Gypsotech GypsoLIGNUM BA 13x1200x2000,ud,12.85,PLACA
L00LB03250AC,Placa Gypsotech GypsoLIGNUM BA 13x1200x2500,ud,12.85,PLACA
L00LB03260AC,Placa Gypsotech GypsoLIGNUM BA 13x1200x2600,ud,12.85,PLACA
L00LB03300AC,Placa Gypsotech GypsoLIGNUM BA 13x1200x3000,ud,12.85,PLACA
L00LB05200AC,Placa Gypsotech GypsoLIGNUM BA 15x1200x2000,ud,17.85,PLACA
C344836249A,Montante 48/35 Z1 2.490 mm,ml,1.40,RESTO
C344836259A,Montante 48/35 Z1 2.590 mm,ml,1.40,RESTO
C344836269A,Montante 48/35 Z1 2.690 mm,ml,1.40,RESTO
C344836279A,Montante 48/35 Z1 2.790 mm,ml,1.40,RESTO
C344836299A,Montante 48/35 Z1 2.990 mm,ml,1.40,RESTO
C344836359A,Montante 48/35 Z1 3.590 mm,ml,1.40,RESTO
C344836399A,Montante 48/35 Z1 3.990 mm,ml,1.40,RESTO
C344836299B,Montante 48/35 Z2 2.990 mm,ml,2.15,RESTO
C367038269A,Montante 70/37 Z1 2.690 mm,ml,1.78,RESTO
C367038279A,Montante 70/37 Z1 2.790 mm,ml,1.78,RESTO
C367038299A,Montante 70/37 Z1 2.990 mm,ml,1.78,RESTO
C367038359A,Montante 70/37 Z1 3.590 mm,ml,1.78,RESTO
C367038399A,Montante 70/37 Z1 3.990 mm,ml,1.78,RESTO
C367038299B,Montante 70/37 Z2 2.990 mm,ml,2.53,RESTO
C399041299A,Montante 90/40 Z1 2.990 mm,ml,2.23,RESTO
C399041359A,Montante 90/40 Z1 3.590 mm,ml,2.23,RESTO
C399041399A,Montante 90/40 Z1 3.990 mm,ml,2.23,RESTO
C399041299B,Montante 90/40 Z2 2.990 mm,ml,3.23,RESTO
C3910041299A,Montante 100/40 Z1 2.990 mm,ml,2.50,RESTO
C4612548399A,Montante 125/47 Z1 3.990 mm,ml,3.13,RESTO
C4615048399A,Montante 150/47 Z1 3.990 mm,ml,3.69,RESTO
U304830300A,Rail 48 Z1 3.000 mm,ml,1.18,RESTO
U304830300B,Rail 48 Z2 3.000 mm,ml,2.15,RESTO
U307030300A,Rail 70 Z1 3.000 mm,ml,1.43,RESTO
U307030300B,Rail 70 Z2 3.000 mm,ml,2.38,RESTO
U309030300A,Rail 90 Z1 3.000 mm,ml,1.75,RESTO
U309030300B,Rail 90 Z2 3.000 mm,ml,2.75,RESTO
U3010030300A,Rail 100 Z1 3.000 mm,ml,2.13,RESTO
U3512535300A,Rail 125 Z1 3.000 mm,ml,2.75,RESTO
U4015040300A,Rail 150 Z1 3.000 mm,ml,3.00,RESTO
E168218300A,Perfil Omega 35 Z1 3.000 mm,ml,1.33,RESTO
C174717300A,Perfil TC 47 Z1 3.000 mm,ml,1.13,RESTO
C174717300B,Perfil TC 47 Z2 3.000 mm,ml,1.88,RESTO
C286028300A,Perfil TC 60 Z1 3.000 mm,ml,1.70,RESTO
L2334300A,Perfil Angular Z1 3.000 mm,ml,0.84,RESTO
L2334300B,Perfil Angular Z2 3.000 mm,ml,1.24,RESTO
U201928300A,Perfil Clip Z1 3.000 mm,ml,0.85,RESTO
U193019300A,Perfil U 30 Z1 3.000 mm,ml,1.10,RESTO
304000,Horquilla cuellgue rápida M6 TC 47,ud,0.195,RESTO
301008,Horquilla cuellgue M6 TC 48,ud,0.362,RESTO
304001,Horquilla cuellgue M6 TC 60,ud,0.408,RESTO
304007,Pieza de empalme TC 47,ud,0.213,RESTO
304008,Pieza de empalme TC 60,ud,0.298,RESTO
304014,Cruceta TC 47,ud,0.448,RESTO
304015,Cruceta TC 60,ud,0.550,RESTO
304021,Suspensión TC 47 90 mm,ud,0.136,RESTO
304022,Suspensión TC 47 180 mm,ud,0.207,RESTO
304023,Suspensión TC 47 240 mm,ud,0.484,RESTO
301060,Gancho fijación viga ≤16 mm,ud,5.740,RESTO
304029,Anclaje directo 47x120,ud,0.340,RESTO
