codigo,concepto,unidad,rendimiento_m2
L00A003250A0,Gypsotech STD BA 13mm - 1200x2500,m2,2.10
L00H003250A0,Gypsotech AQUA H2 BA 13mm - 1200x2500,m2,2.10
C367038299A,Montante 70/37 Z1,ml,2.8
U307030300A,Rail 70 Z1,ml,0.95
304101,Tornillo Fosfatado PM Ø3.5x25 mm,ud,15
304104,Tornillo Fosfatado PM Ø3.5x35mm,ud,30
304134,Tornillo Punta Broca MM Ø3.5x95 mm,ud,3
304058,Cinta de juntas 50mm,ml,1.20
304076,Banda estanca perimétral bajo Rail-Aqua H2-30m,ml,0.90
351E1,FASSAJOINT 1H 10kg,kg,1.10
1091001Y,Perfil esquinero PVC,ml,0.40
